Date & Time Stamp,SpeedAvg,SpeedMax,DirectionAvg,TemperatureAvg,TemperatureMax,PressureAvg,PressureMax,HumidtyAvg,HumityMax,height
11/19/2016 13:50,7.7,11.9,93,17.2,17.3,791.3,791.8,86.5,89.6,10
11/19/2016 14:00,7.9,11.9,91,17.3,17.6,791.2,791.8,87.8,90.1,10
11/19/2016 14:10,9.4,12.5,91,17.3,17.6,791.0,791.4,86.3,88.1,10
11/19/2016 14:20,9.3,11.9,91,17.5,17.6,791.0,791.4,85.4,88.6,10
11/19/2016 14:30,8.3,12.5,92,17.5,17.6,791.0,791.4,86.3,88.6,10
11/19/2016 14:40,8.3,11.9,92,17.6,17.9,791.0,791.4,84.6,86.5,10
11/19/2016 14:50,9.4,11.9,93,17.6,17.9,791.0,791.4,83.9,86.9,10
11/19/2016 15:00,8.7,11.9,93,17.8,18.1,791.0,791.4,81.7,83.7,10
11/19/2016 15:10,9.2,13.0,91,17.9,18.1,791.0,791.4,81.0,83.5,10
11/19/2016 15:20,9.4,12.5,92,17.8,18.1,791.0,791.4,81.7,84.4,10
11/19/2016 15:30,8.2,11.9,92,17.8,17.9,791.0,791.4,82.6,85.5,10
11/19/2016 15:40,8.4,11.9,91,17.9,18.1,791.0,791.4,79.7,82.4,10
11/19/2016 15:50,7.1,11.0,92,17.8,17.9,791.1,791.4,81.3,83.7,10
11/19/2016 16:00,9.0,11.9,94,17.8,17.9,791.0,791.4,79.0,82.8,10
11/19/2016 16:10,7.6,10.1,94,17.6,17.9,791.0,791.4,83.3,85.5,10
11/19/2016 16:20,7.4,9.3,94,17.5,17.6,791.0,791.4,83.8,85.3,10
11/19/2016 16:30,8.9,11.9,95,17.5,17.6,790.6,791.0,82.5,84.8,10
11/19/2016 16:40,8.5,10.1,94,17.5,17.6,790.6,791.0,84.1,86.9,10
11/19/2016 16:50,7.6,10.1,93,17.3,17.6,790.6,791.0,87.3,88.6,10
11/19/2016 17:00,8.4,10.1,94,17.3,17.3,790.6,791.0,86.7,88.8,10
11/19/2016 17:10,7.5,10.1,93,17.1,17.3,790.6,791.0,90.2,92.0,10
11/19/2016 17:20,7.3,9.3,95,16.9,17.0,790.6,791.0,91.2,92.5,10
11/19/2016 17:30,7.3,8.5,96,16.8,17.0,790.6,791.0,92.8,94.0,10
11/19/2016 17:40,6.7,7.8,96,16.7,16.7,790.6,791.0,94.4,95.6,10
11/19/2016 17:50,6.5,7.2,97,16.6,16.7,790.9,791.0,95.1,95.8,10
11/19/2016 18:00,6.1,7.2,98,16.5,16.7,791.0,791.0,95.4,96.1,10
11/19/2016 18:10,5.8,6.3,98,16.5,16.5,791.0,791.4,95.4,96.4,10
11/19/2016 18:20,5.4,6.3,98,16.5,16.7,791.2,791.4,94.8,95.6,10
11/19/2016 18:30,5.1,5.6,97,16.5,16.7,791.2,791.4,95.5,96.1,10
11/19/2016 18:40,5.3,6.3,97,16.6,16.7,791.2,791.4,94.9,95.8,10
11/19/2016 18:50,5.7,6.3,98,16.8,17.0,791.3,791.8,93.2,94.3,10
11/19/2016 19:00,6.0,6.3,99,16.9,17.0,791.5,791.8,92.1,94.3,10
11/19/2016 19:10,6.2,7.2,100,17.0,17.0,791.8,792.2,89.8,92.0,10
11/19/2016 19:20,6.3,7.2,100,17.1,17.3,791.8,792.2,88.5,90.3,10
11/19/2016 19:30,7.0,7.8,100,17.1,17.3,791.8,792.2,87.4,88.4,10
11/19/2016 19:40,6.9,7.2,100,17.1,17.3,791.9,792.2,87.2,88.1,10
11/19/2016 19:50,6.5,7.2,101,17.1,17.3,791.9,792.2,87.5,91.0,10
11/19/2016 20:00,6.3,7.2,101,17.1,17.3,792.0,792.2,87.3,91.5,10
11/19/2016 20:10,6.0,7.2,100,16.9,17.0,792.1,792.2,89.1,92.5,10
11/19/2016 20:20,6.3,7.2,100,17.1,17.0,792.2,792.2,88.8,89.3,10
11/19/2016 20:30,6.2,7.2,100,17.0,17.0,792.2,792.2,88.1,88.8,10
11/19/2016 20:40,5.9,6.3,100,16.9,17.0,792.2,792.6,88.1,89.6,10
11/19/2016 20:50,5.8,6.3,100,16.9,17.0,792.4,792.6,89.1,91.5,10
11/19/2016 21:00,5.7,6.3,100,16.7,16.7,792.4,792.6,90.5,93.0,10
11/19/2016 21:10,5.8,6.3,101,16.9,17.0,792.5,792.6,89.1,90.1,10
11/19/2016 21:20,5.6,6.3,101,16.9,17.0,792.7,792.6,89.6,90.8,10
11/19/2016 21:30,5.7,6.3,100,16.8,17.0,792.7,793.0,89.8,90.5,10
11/19/2016 21:40,5.9,6.3,99,16.8,17.0,792.7,793.0,90.6,92.0,10
11/19/2016 21:50,5.8,6.3,99,16.6,16.7,792.7,792.6,91.8,92.5,10
11/19/2016 22:00,6.2,7.2,99,16.5,16.7,792.7,792.6,92.1,93.0,10
11/19/2016 22:10,6.7,7.2,100,16.7,16.7,792.6,792.6,90.2,92.5,10
11/19/2016 22:20,6.9,7.8,99,16.9,17.0,792.6,792.6,88.1,90.1,10
11/19/2016 22:30,6.5,7.8,97,16.9,17.0,792.5,792.6,87.2,90.1,10
11/19/2016 22:40,6.1,7.2,96,16.9,17.0,792.4,792.6,86.9,87.6,10
11/19/2016 22:50,6.2,7.2,96,16.9,17.0,792.3,792.6,87.8,88.4,10
11/19/2016 23:00,5.7,6.3,96,16.8,16.7,792.3,792.6,88.7,89.3,10
11/19/2016 23:10,6.1,7.2,96,16.7,16.7,792.2,792.6,89.3,89.8,10
11/19/2016 23:20,6.7,7.8,94,16.7,16.7,792.2,792.2,89.6,90.5,10
11/19/2016 23:30,6.2,7.2,94,16.7,16.7,792.1,792.2,89.9,90.5,10
11/19/2016 23:40,5.8,6.3,95,16.6,16.7,791.9,792.2,90.6,91.3,10
11/19/2016 23:50,5.6,6.3,97,16.5,16.5,791.8,792.2,91.5,93.0,10
11/20/2016 0:00,5.4,6.3,98,16.2,16.5,791.8,792.2,93.3,95.6,10
11/20/2016 0:10,5.7,6.3,98,16.2,16.2,791.8,792.2,93.7,96.4,10
11/20/2016 0:20,6.3,7.2,97,16.2,16.5,791.8,792.2,93.5,95.6,10
11/20/2016 0:30,6.2,7.2,99,16.1,16.2,791.6,791.8,94.9,96.4,10
11/20/2016 0:40,6.0,7.2,99,15.9,16.2,791.3,791.8,97.1,98.7,10
11/20/2016 0:50,6.0,7.2,98,15.8,15.9,791.2,791.4,99.1,100.1,10
11/20/2016 1:00,6.5,7.2,98,15.7,15.6,791.0,791.4,98.7,99.5,10
11/20/2016 1:10,6.7,7.2,98,15.8,15.9,790.9,791.0,98.0,98.7,10
11/20/2016 1:20,6.9,7.8,97,15.8,15.9,790.7,791.0,97.2,97.9,10
11/20/2016 1:30,7.2,8.5,95,16.0,16.2,790.6,791.0,96.8,97.4,10
11/20/2016 1:40,7.2,7.8,96,16.0,15.9,790.6,791.0,97.0,97.7,10
11/20/2016 1:50,7.5,8.5,96,15.8,15.9,790.5,791.0,97.7,98.2,10
11/20/2016 2:00,8.1,9.3,96,15.8,15.9,790.3,790.7,97.7,98.2,10
11/20/2016 2:10,8.7,10.1,95,15.9,15.9,790.1,790.7,97.1,98.5,10
11/20/2016 2:20,8.9,9.3,96,15.9,15.9,790.0,790.7,96.8,97.4,10
11/20/2016 2:30,9.2,10.1,96,15.8,15.9,789.9,790.3,96.8,97.4,10
